Date,Open,High,Low,Close,Adj Close,Volume
2018-09-07,38314.550781,38421.558594,38067.218750,38389.820313,38389.820313,18700
2018-09-10,38348.390625,38354.519531,37882.828125,37922.171875,37922.171875,20500
2018-09-11,38017.488281,38043.269531,37361.199219,37413.128906,37413.128906,11900
2018-09-12,37546.421875,37752.578125,37342.000000,37717.960938,37717.960938,13600
2018-09-14,37939.289063,38125.621094,37859.519531,38090.640625,38090.640625,12200
2018-09-17,38027.808594,38027.808594,37548.929688,37585.511719,37585.511719,8800
2018-09-18,37660.191406,37745.441406,37242.851563,37290.671875,37290.671875,10900
2018-09-19,37432.929688,37530.628906,37062.691406,37121.218750,37121.218750,13000
2018-09-21,37278.890625,37489.238281,35993.640625,36841.601563,36841.601563,41100
2018-09-24,36924.718750,36945.500000,36216.949219,36305.019531,36305.019531,23300
2018-09-25,36350.250000,36705.789063,36064.101563,36652.058594,36652.058594,20500
2018-09-26,36936.640625,36938.738281,36357.929688,36542.269531,36542.269531,21800
2018-09-27,36691.929688,36711.621094,36238.230469,36324.171875,36324.171875,17800
2018-09-28,36452.738281,36551.859375,35985.628906,36227.140625,36227.140625,22800
2018-10-01,36274.250000,36616.640625,35960.648438,36526.140625,36526.140625,21300
2018-10-03,36602.851563,36602.851563,35911.820313,35975.628906,35975.628906,25100
2018-10-04,35820.531250,35820.531250,35022.121094,35169.160156,35169.160156,21300
2018-10-05,35097.988281,35118.539063,34202.218750,34376.988281,34376.988281,22100
